,accuracy,precision,recall,f1score,AUC,AP
GRIN3A---Cluster2,0.6627906976744186,0.583974358974359,0.5904071773636991,0.5861954537912726,0.6445824706694272,0.40571000681166536
GSX2,0.7093023255813954,0.7078559738134207,0.7070652173913043,0.7073635497481965,0.8157608695652174,0.8343178002788337
GZMB---Cluster1,0.7209302325581395,0.7077769049489395,0.6551319648093842,0.6616393442622952,0.8002932551319648,0.7057811272302825
H1F0,0.6511627906976745,0.5343137254901961,0.5282258064516129,0.5274725274725275,0.5880376344086021,0.7886740213709107
HAND2---Cluster2,0.686046511627907,0.6564039408866995,0.6489736070381231,0.6517174141292935,0.6475073313782991,0.5471131374670608
HAPLN3---Cluster1,0.6976744186046512,0.7049089906232764,0.7013550135501355,0.6970189701897018,0.7750677506775069,0.7393523242947826
HDC---Cluster1,0.6511627906976745,0.6416666666666666,0.6416666666666666,0.6416666666666666,0.6811111111111111,0.7285088517400203
HEBP1,0.7209302325581395,0.6782670454545454,0.6545566502463054,0.661639344262295,0.6413177339901478,0.7536198231380069
HERC5,0.6744186046511628,0.5705128205128205,0.5898692810457516,0.5724431818181819,0.625,0.30228763961300215
HFE,0.6744186046511628,0.6695652173913043,0.6733333333333333,0.6699561403508771,0.7961111111111112,0.8565937191981375
HGF---Cluster1,0.6046511627906976,0.5324590163934426,0.5310734463276836,0.5314102564102563,0.6001255492780916,0.4050368950821944
HIST1H2BH---Cluster1,0.5581395348837209,0.5595238095238095,0.5603070175438596,0.5571815718157183,0.5882675438596492,0.6455910325243114
HIST1H2BJ---Cluster1,0.47674418604651164,0.4788961038961039,0.47815126050420165,0.47325438954675386,0.5467787114845939,0.6512977181470726
HIST1H4J,0.46511627906976744,0.45504385964912275,0.45444444444444443,0.4544953116381688,0.4616666666666666,0.4199758498866373
HIST3H2A---Cluster1,0.6162790697674418,0.529504080351538,0.5333806818181819,0.5291189646590344,0.6029829545454546,0.33607164165418196
HOPX---Cluster1,0.6046511627906976,0.6046511627906976,0.6048780487804878,0.6044372294372294,0.6368563685636857,0.6149722025875323
HOXB9---Cluster2,0.6046511627906976,0.581293157564344,0.5725490196078431,0.5712609970674486,0.6112044817927171,0.5227941719354002
HOXC10---Cluster1,0.5,0.49510869565217386,0.4950358521787094,0.4944634313055366,0.4773855488141202,0.5775581480745247
HPD---Cluster1,0.7441860465116279,0.7441352973267867,0.7425474254742548,0.7429347826086956,0.751219512195122,0.6944155607047271
HPDL---Cluster1,0.6395348837209303,0.6395348837209303,0.6414473684210527,0.6383123049789716,0.6387061403508772,0.5173768788506797
HPS1---Cluster1,0.5930232558139535,0.5921945701357466,0.5883468834688347,0.586254295532646,0.6032520325203252,0.5801010511631752
HPS3---Cluster1,0.6162790697674418,0.6074740861974904,0.6114253393665159,0.6073059360730593,0.6843891402714932,0.7750555268104916
HRASLS,0.7093023255813954,0.6529761904761905,0.6773636991028296,0.6591089265895036,0.7204968944099379,0.41935583167346685
HS3ST3B1---Cluster2,0.5930232558139535,0.5227832512315271,0.5242622950819672,0.5227524972253053,0.620327868852459,0.42198376268790855
HSD17B14,0.686046511627907,0.5157109190887668,0.5178571428571428,0.5157455683003128,0.5232142857142857,0.21229480907909887
HSD17B7P2---Cluster1,0.6046511627906976,0.48082386363636365,0.48082386363636365,0.48082386363636365,0.4446022727272727,0.3492410104857442
HSD3B7---Cluster1,0.5930232558139535,0.5482142857142858,0.5490018148820327,0.5485225738713063,0.6013309134906231,0.40729699815576303
HSPA1A---Cluster1,0.45348837209302323,0.38690476190476186,0.38072818581293155,0.3833714721586575,0.6082862523540489,0.3973937641872161
HSPB2---Cluster2,0.5697674418604651,0.5672086720867209,0.5679824561403509,0.5668980536273308,0.556469298245614,0.6230090404374937
HTATIP2---Cluster1,0.627906976744186,0.5665976535541752,0.55837870538415,0.558974358974359,0.5849969751966122,0.7360369178935413
HYAL2---Cluster1,0.5813953488372093,0.5826558265582655,0.5826558265582655,0.5813953488372093,0.6482384823848238,0.6518963057611276
IER3,0.686046511627907,0.6680672268907563,0.6736111111111112,0.6699360341151386,0.6672453703703703,0.7601723919815749
IER5,0.6627906976744186,0.6485745614035088,0.6589442815249267,0.6490783734346419,0.7782991202346041,0.8712115792986004
IFI44,0.7209302325581395,0.7153888582460011,0.7153888582460011,0.7153888582460011,0.7517926089354661,0.6858744287784084
IFIH1---Cluster1,0.6511627906976745,0.6442360728075014,0.6442360728075014,0.6442360728075014,0.7032542746828463,0.6793729962580823
IFITM2,0.6744186046511628,0.6813008130081301,0.6961876832844575,0.6699561403508771,0.7530791788856306,0.5307120396571676
IFNGR2---Cluster1,0.7325581395348837,0.6296703296703297,0.6340909090909091,0.6317259355799665,0.6916666666666667,0.8958082775134888
IGF2BP2---Cluster2,0.8372093023255814,0.7862215909090908,0.7862215909090908,0.7862215909090908,0.8650568181818181,0.9450376780344936
IGF2BP3---Cluster1,0.6744186046511628,0.5613636363636363,0.5575284090909091,0.558974358974359,0.5944602272727273,0.3323940043706061
IGFBP6---Cluster3,0.6627906976744186,0.5745967741935484,0.5766045548654244,0.5754893617021277,0.5838509316770186,0.7895768313351497
IL13RA1,0.627906976744186,0.5379786566227245,0.5443223443223444,0.5376344086021505,0.4952380952380953,0.7515779091408916
IL15---Cluster1,0.6976744186046512,0.6065727699530516,0.5744262295081968,0.5765151515151515,0.6262295081967213,0.7852808659601038
IL15RA---Cluster2,0.6511627906976745,0.5548654244306418,0.5548654244306418,0.5548654244306418,0.6204278812974465,0.7835163719703805
IL17B---Cluster1,0.686046511627907,0.6859078590785908,0.6856060606060606,0.6856640043319345,0.7529761904761905,0.733245328169799
IL1R2,0.6511627906976745,0.6524822695035462,0.6511627906976745,0.6504065040650406,0.6457544618712818,0.6693357387081738
IL1RAP,0.627906976744186,0.6087912087912088,0.5831932773109243,0.5763546798029556,0.6974789915966386,0.7913893214077095
IL2RA---Cluster1,0.627906976744186,0.6309782608695653,0.6309782608695653,0.627906976744186,0.7252717391304347,0.6815647081191759
IL32,0.6976744186046512,0.6791788856304986,0.6746712407089765,0.6765046296296297,0.8096054888507718,0.6676941870381694
ILVBL---Cluster1,0.6511627906976745,0.5920698924731183,0.5843596059113301,0.5865384615384616,0.5942118226600985,0.4345938455861974
IMPA2,0.627906976744186,0.6190476190476191,0.6172090457804744,0.6177777777777778,0.6486486486486487,0.7219149693361897
IMPACT---Cluster1,0.7441860465116279,0.7490347490347491,0.7441860465116279,0.7429347826086956,0.7723093564088697,0.7604650926095923
IQGAP1---Cluster1,0.6395348837209303,0.6349062310949789,0.6222587719298246,0.6210376687988628,0.6825657894736843,0.7299983878849211
IQGAP2,0.7441860465116279,0.7440476190476191,0.7440476190476191,0.7440476190476191,0.7938311688311688,0.7674219527431481
IRAK3---Cluster1,0.6744186046511628,0.6467948717948717,0.6325231481481481,0.6358136721113128,0.681712962962963,0.7453107994794145
IRF7---Cluster2,0.5930232558139535,0.45997239475500346,0.45606060606060606,0.45736434108527135,0.4386363636363636,0.2427698914836872
ISG20,0.5813953488372093,0.5866228070175439,0.5858695652173913,0.5811688311688312,0.5633152173913043,0.5968680774446934
ISYNA1---Cluster1,0.5348837209302325,0.5261111111111111,0.5257675438596491,0.5256480970766685,0.5767543859649122,0.6317886284232933
ITGA3---Cluster1,0.7674418604651163,0.7658536585365854,0.76759410801964,0.7663043478260869,0.8434260774686306,0.8877360783736578
ITGB1BP1---Cluster2,0.7558139534883721,0.7480338777979432,0.7319004524886878,0.7370030581039756,0.7912895927601811,0.8403602288421619
ITGB2---Cluster1,0.6511627906976745,0.6341736694677871,0.6369353916523728,0.6351809954751131,0.6975414522584333,0.7862315414530033
ITGB3,0.6046511627906976,0.5342741935483871,0.5314039408866995,0.5314102564102565,0.5437192118226601,0.6980941258855983
