,accuracy,precision,recall,f1score,AUC,AP
C6orf150---Cluster1,0.5232558139534884,0.5254329004329005,0.5263305322128851,0.5200762215870423,0.5901960784313726,0.6605157947024476
C7orf16,0.6046511627906976,0.5859943977591037,0.5877644368210406,0.5865384615384616,0.6272155517438537,0.5146409918666479
C7orf23,0.6162790697674418,0.6038888888888889,0.6047619047619047,0.6042392971691535,0.6896358543417367,0.600106674995779
C7orf31,0.5232558139534884,0.5103260869565217,0.5119271814187069,0.49879175550817345,0.5781544256120528,0.4308881788245905
C7orf46---Cluster1,0.5581395348837209,0.5582655826558266,0.5581395348837209,0.5579004329004329,0.6187128177393184,0.5620081263689936
C8orf38---Cluster1,0.5697674418604651,0.5529509100937673,0.5555555555555556,0.5522724074855776,0.6215277777777778,0.4964884597099136
C8orf79,0.5697674418604651,0.5701086956521739,0.569767441860465,0.5692432651956139,0.6495402920497566,0.622037354855278
C9orf167---Cluster1,0.4883720930232558,0.47159404302261443,0.4705546026300743,0.4700280112044818,0.5022870211549457,0.3994096262335137
C9orf25---Cluster2,0.6046511627906976,0.600108225108225,0.6185897435897436,0.5865384615384615,0.6528846153846154,0.4324909620165697
C9orf40---Cluster2,0.5581395348837209,0.5478260869565217,0.5523809523809524,0.5422969187675071,0.5982142857142857,0.4975844766765161
C9orf64---Cluster1,0.5813953488372093,0.5826086956521739,0.5822510822510822,0.5811688311688311,0.6991341991341992,0.6782831660510764
C9orf68,0.5930232558139535,0.5888157894736843,0.5883797054009821,0.5885167464114833,0.6680305510092744,0.6301697069083677
C9orf89---Cluster2,0.686046511627907,0.6196428571428572,0.6472527472527472,0.6237238697131745,0.6527472527472526,0.38570652306121533
C9orf95---Cluster1,0.686046511627907,0.686046511627907,0.6990740740740741,0.6808247422680412,0.7424768518518519,0.8240409828641031
CA2,0.6976744186046512,0.7002164502164503,0.7092760180995474,0.6950354609929078,0.7938348416289593,0.859037337094636
CA3---Cluster1,0.5465116279069767,0.5471491228070176,0.5465116279069767,0.5449735449735449,0.601406165494862,0.6082000947719104
CA5B---Cluster1,0.5465116279069767,0.528804347826087,0.5388278388278389,0.5046521931767833,0.5677655677655677,0.7924855133484285
CACNG2---Cluster2,0.5348837209302325,0.5455046883618312,0.5455046883618312,0.5348837209302325,0.5874241588527302,0.490597280544507
CALCRL,0.6162790697674418,0.6105691056910569,0.6180555555555556,0.6073059360730593,0.5740740740740741,0.4390291917751896
CAP2,0.6627906976744186,0.6610590182018754,0.658695652173913,0.6590567327409432,0.7540760869565217,0.7130738251581406
CAPG,0.43023255813953487,0.4437396580253723,0.4423076923076923,0.4295383782320293,0.4804864253393665,0.605825769680107
CARD9---Cluster1,0.6511627906976745,0.6377777777777778,0.6402714932126696,0.638655462184874,0.7132352941176471,0.6214133968199689
CASP8---Cluster1,0.627906976744186,0.6304112554112554,0.6363122171945701,0.6246590289143481,0.6713800904977376,0.752584490331103
CAV2,0.6046511627906976,0.5773026315789473,0.6001420454545454,0.5648809523809524,0.6100852272727273,0.8348008200444921
CBLN2---Cluster1,0.6744186046511628,0.6584833606110202,0.682360326428123,0.6558033161806747,0.6509730069052103,0.4432519198500447
CBR1---Cluster1,0.5930232558139535,0.5932156646442361,0.5914502164502164,0.5903089696474751,0.6709956709956709,0.6402314638666482
CCDC109B---Cluster1,0.6046511627906976,0.6076839826839827,0.615162037037037,0.5992324561403509,0.6568287037037037,0.7332147852592013
CCDC122,0.5930232558139535,0.5941558441558441,0.5949263502454992,0.592527413022878,0.6683033278777959,0.6968804085086072
CCDC65,0.5232558139534884,0.5201854882705946,0.5201086956521739,0.5200762215870423,0.5739130434782609,0.5248117768127851
CCDC8---Cluster1,0.6162790697674418,0.6162790697674418,0.6194444444444445,0.6137198856676194,0.6086111111111112,0.6744997330200662
CCDC89---Cluster1,0.686046511627907,0.6934782608695653,0.6994397759103641,0.684981684981685,0.7739495798319328,0.8342005098998935
CCL5---Cluster1,0.45348837209302323,0.4398373983739837,0.40931372549019607,0.3937303134843258,0.47630718954248374,0.8178659376407875
CCNA1---Cluster1,0.5,0.47708674304418985,0.4701704545454546,0.4538472899128637,0.5152698863636365,0.7548603644496477
CCND1---Cluster6,0.6395348837209303,0.65,0.6618768328445748,0.6355434039644565,0.7087976539589442,0.6104087968786951
CCNF---Cluster1,0.6162790697674418,0.6114718614718615,0.6350819672131147,0.5965884861407249,0.6970491803278688,0.8625447409021049
CCR1,0.5581395348837209,0.5399305555555556,0.5383333333333333,0.5378959276018099,0.6588888888888889,0.5988243380027214
CCR7,0.6511627906976745,0.633888888888889,0.6394675925925926,0.6351809954751131,0.7048611111111112,0.5580110883486568
CD109---Cluster1,0.5465116279069767,0.5526315789473684,0.5523731587561375,0.5464503042596349,0.6104746317512274,0.6641788150620773
CD2,0.7209302325581395,0.7228260869565217,0.7218614718614718,0.7207792207792207,0.8181818181818181,0.8308291335567091
CD248,0.6046511627906976,0.5934914506343077,0.5949579831932773,0.5938888888888889,0.711764705882353,0.6074845311725319
CD300LF,0.686046511627907,0.6351190476190476,0.6488524590163935,0.6391608391608392,0.699672131147541,0.4930152453022705
CD33,0.4883720930232558,0.4956521739130435,0.49547511312217196,0.48586956521739133,0.5514705882352942,0.6833362188804389
CD4,0.5697674418604651,0.56,0.5595697738554881,0.5597066555970666,0.6425813568670712,0.5964005013328039
CD48,0.6744186046511628,0.6655555555555556,0.6655555555555556,0.6655555555555556,0.7616666666666667,0.69200738318436
CD53---Cluster1,0.6162790697674418,0.6178728070175439,0.6162790697674418,0.6149776149776149,0.6817198485667929,0.6811958201232127
CD69,0.6046511627906976,0.5881069285324605,0.6013810420590082,0.5820468839336764,0.6559949780288763,0.8109974370482234
CD74,0.5930232558139535,0.5840108401084011,0.5993589743589745,0.5721393034825871,0.625,0.7915675077408157
CD79B---Cluster1,0.5,0.44845938375350136,0.4303030303030303,0.42533022533022524,0.45303030303030306,0.7598438311241008
CD83---Cluster1,0.627906976744186,0.6138888888888889,0.6159502262443439,0.6145658263305322,0.6889140271493213,0.5948218784443945
CD86,0.5581395348837209,0.5413043478260869,0.5539772727272727,0.5208211143695015,0.5447443181818181,0.7920238261240495
CD93---Cluster1,0.5348837209302325,0.5322669608383894,0.5317073170731708,0.530823786142935,0.5875338753387535,0.5734029329505153
CDC42EP3---Cluster1,0.5465116279069767,0.5363143631436315,0.54502688172043,0.5177570093457944,0.5907258064516129,0.8075208627987585
CDC42EP5---Cluster1,0.6395348837209303,0.6428571428571428,0.6548387096774193,0.6335395189003437,0.6853372434017596,0.7615942593705141
CDK4,0.7325581395348837,0.7353896103896104,0.7487135506003431,0.7295967190704032,0.8270440251572327,0.8860603795673114
CDKN3,0.6162790697674418,0.6178728070175439,0.6162790697674418,0.6149776149776149,0.6671173607355326,0.6428126434915958
CEBPD---Cluster1,0.6744186046511628,0.6104053236539625,0.6259489302967564,0.6141025641025641,0.7225672877846792,0.5045819843783806
CHAC1---Cluster1,0.6395348837209303,0.5839285714285715,0.5924590163934427,0.5857031857031858,0.6793442622950819,0.44792955718707766
