,accuracy,precision,recall,f1score,AUC,AP
MGMT---Cluster5,0.8953488372093024,0.4476744186046512,0.5,0.4723926380368098,0.5844155844155845,0.9260008269308247
MGP---Cluster1,0.8255813953488372,0.8266666666666667,0.820785597381342,0.8226804123711341,0.9252591380250955,0.9500331345325528
MGST2,0.8604651162790697,0.8601626016260162,0.8601626016260162,0.8601626016260162,0.9143631436314363,0.9336450787064802
MINA,0.8023255813953488,0.6622760800842993,0.6375,0.6474559922835784,0.7535714285714286,0.39318351394813167
MIPOL1---Cluster1,0.6976744186046512,0.6743589743589744,0.6574074074074074,0.661826981246219,0.7528935185185185,0.5983208066931551
MLH3,0.7325581395348837,0.7424908424908425,0.6872171945701357,0.6926184926184926,0.8529411764705882,0.7224279195623388
MMP2---Cluster1,0.7209302325581395,0.7209302325581395,0.7253171538885825,0.7195652173913043,0.7661334804191947,0.6566132579454729
MMP7,0.8604651162790697,0.8604651162790697,0.8612466124661247,0.8603896103896105,0.9132791327913279,0.924060787452467
MMP9---Cluster1,0.7906976744186046,0.7906976744186047,0.7932351336606656,0.7902439024390244,0.8685215493726133,0.8491750619101227
MOSC2,0.7906976744186046,0.7906976744186047,0.7913279132791329,0.7905844155844157,0.8921409214092142,0.8983645470724761
MOXD1,0.6627906976744186,0.582516339869281,0.5634023854362837,0.563604549431321,0.7281858129315756,0.5438165565718656
MPZ---Cluster1,0.7325581395348837,0.7322118036403751,0.728804347826087,0.7295967190704034,0.7989130434782609,0.7465883225947015
MR1,0.7558139534883721,0.756578947368421,0.7536585365853659,0.7541853817884852,0.781029810298103,0.8050425015930438
MRPL41,0.6046511627906976,0.6059351276742582,0.5837424986361156,0.5712609970674487,0.5870158210583742,0.6425000011817876
MS4A6A,0.7790697674418605,0.774671052631579,0.7763375620518478,0.7753951890034364,0.8270821842250414,0.7453570854592402
MSN,0.6395348837209303,0.5375,0.5263653483992468,0.5193798449612402,0.6817325800376648,0.8437498737459607
MSR1,0.7674418604651163,0.7816849816849817,0.7198399085191538,0.7300690521029505,0.8347627215551745,0.8813565389591906
MSX2,0.6976744186046512,0.6792215944758317,0.6632361349342482,0.6672619047619047,0.7747284162378503,0.5906492739891793
MT1E---Cluster1,0.7906976744186046,0.7910529187124932,0.789159891598916,0.7896739130434782,0.9024390243902439,0.9220715070239884
MT2A---Cluster2,0.7790697674418605,0.7804146208401528,0.7781385281385282,0.7783204449871117,0.8804112554112554,0.8800892744407003
MT3---Cluster1,0.7441860465116279,0.7260504201680672,0.7366568914956012,0.729559748427673,0.8557184750733138,0.7107748572358255
MTHFS,0.7674418604651163,0.7265151515151516,0.6916666666666667,0.7032436162870945,0.8,0.8946960699998158
MX1,0.813953488372093,0.8133116883116883,0.8146739130434782,0.813550135501355,0.8543478260869565,0.8799133353745492
MX2,0.8372093023255814,0.8444444444444444,0.8354978354978355,0.8357883251500273,0.9090909090909092,0.906825889611503
MYBL2---Cluster1,0.813953488372093,0.8168021680216802,0.8188761593016912,0.8138528138528138,0.8892525913802509,0.8800539829013535
MYBPH---Cluster1,0.7674418604651163,0.8035714285714286,0.6821428571428572,0.6946022727272727,0.7940476190476191,0.8709017440866319
MYCBP---Cluster2,0.7906976744186046,0.8293040293040292,0.7518207282913165,0.7616995073891625,0.9142857142857143,0.9416789613389769
MYO1C,0.6511627906976745,0.6709677419354838,0.6579945799457995,0.6463815789473684,0.7284552845528455,0.7756328653885471
N6AMT2,0.6627906976744186,0.5168598524762908,0.510752688172043,0.5007007007007007,0.7170698924731184,0.41338977559578216
NAALAD2---Cluster1,0.813953488372093,0.8124661246612466,0.8145117294053463,0.8130434782608695,0.8717948717948718,0.8984045044241178
NAGA---Cluster2,0.7441860465116279,0.7426470588235294,0.7351973684210527,0.7372222222222222,0.7834429824561403,0.7549692602717266
NCAPD2---Cluster1,0.5930232558139535,0.5588235294117647,0.5403361344537815,0.5227524972253053,0.6190476190476191,0.7357528605507693
NCAPH---Cluster1,0.813953488372093,0.8102592388306674,0.8102592388306674,0.8102592388306674,0.8491450634307777,0.7255092893552244
NCKAP1L---Cluster1,0.7209302325581395,0.7204861111111112,0.7088815789473684,0.7109243697478991,0.7645285087719298,0.7915047467682602
NDC80---Cluster1,0.7209302325581395,0.7595907928388747,0.6705882352941177,0.6692307692307692,0.8014005602240897,0.8607321242392028
NDUFA12---Cluster2,0.6046511627906976,0.5994397759103641,0.59683578832515,0.5968008825151682,0.63557010365521,0.6813593338215095
NDUFA4L2---Cluster1,0.8372093023255814,0.8360215053763441,0.7976190476190477,0.8110483364720653,0.8749999999999999,0.9262126980553623
NDUFS5---Cluster1,0.7441860465116279,0.6765432098765432,0.549344375431332,0.5307539682539683,0.7239475500345065,0.48712691239068373
NEK11---Cluster1,0.7325581395348837,0.6794340924775707,0.6666666666666667,0.6718101874896301,0.7788461538461539,0.555558153718816
NETO1,0.7441860465116279,0.7415553809897879,0.6803519061583577,0.6898360655737705,0.8005865102639297,0.6537736499813568
NF1---Cluster2,0.7325581395348837,0.6002252252252253,0.5652014652014652,0.5687813385655113,0.7688644688644688,0.43283961650967195
NFATC1---Cluster1,0.6976744186046512,0.6791788856304986,0.6746712407089765,0.6765046296296297,0.7615780445969126,0.8258400488165576
NFATC4---Cluster1,0.47674418604651164,0.478273299028016,0.47943722943722944,0.4709501025290499,0.5224567099567099,0.5615267075543288
NFE2L3---Cluster2,0.7093023255813954,0.6985659128516271,0.7036199095022624,0.7001812857342071,0.6917420814479639,0.6519291790496551
NHLH1---Cluster1,0.7325581395348837,0.7321428571428572,0.7325203252032519,0.7322322999864628,0.791869918699187,0.7438853791500315
NID2---Cluster1,0.7209302325581395,0.6598214285714286,0.6147435897435898,0.621978021978022,0.7737179487179487,0.8972580429307832
NINJ1---Cluster1,0.7906976744186046,0.7658802177858439,0.7658802177858439,0.7658802177858439,0.8402903811252269,0.6678503571771796
NIPSNAP3A,0.6511627906976745,0.5843920145190562,0.5962732919254659,0.5865384615384616,0.7846790890269151,0.6121867968441621
NLGN2---Cluster1,0.6976744186046512,0.7092760180995474,0.7002164502164503,0.6950354609929078,0.7364718614718615,0.7162805628642754
NLGN2---Cluster2,0.7209302325581395,0.7080965909090908,0.6695601851851851,0.6760828625235404,0.7627314814814814,0.8505194110810846
NLRP12---Cluster1,0.7558139534883721,0.7527859237536657,0.7394444444444443,0.7432835820895523,0.8049999999999999,0.8356904307786639
NMI---Cluster1,0.686046511627907,0.5229166666666667,0.5072131147540984,0.46877144818119426,0.659672131147541,0.3831700608628781
NMNAT3,0.7906976744186046,0.7896739130434782,0.7896739130434782,0.7896739130434782,0.873641304347826,0.8886657796040575
NMUR1---Cluster1,0.7325581395348837,0.7205278592375366,0.7126696832579186,0.7156002875629044,0.8156108597285068,0.7572919638828566
NNAT,0.7093023255813954,0.6580246913580247,0.541025641025641,0.5081217112788835,0.6487179487179486,0.8067372994759879
NNMT,0.8372093023255814,0.8263762855414398,0.8164222873900293,0.8208333333333333,0.8826979472140762,0.8180427565158472
NOD1,0.686046511627907,0.5732394366197183,0.5524193548387097,0.5523423944476575,0.7654569892473118,0.5117140142798257
NOTCH3---Cluster1,0.7558139534883721,0.7546296296296297,0.7426916712630999,0.7458843393837062,0.8466629895201324,0.7691736977664954
NPY5R---Cluster2,0.6511627906976745,0.5205357142857143,0.5154569892473119,0.5113636363636364,0.601478494623656,0.34041546673879763
NQO1---Cluster1,0.6976744186046512,0.46419753086419757,0.48999309868875085,0.44543650793650796,0.6363008971704623,0.3849667440297757
NQO2,0.8837209302325582,0.8847826086956522,0.8831168831168831,0.8834688346883468,0.948051948051948,0.9481849845023234
NRN1---Cluster2,0.7325581395348837,0.5289330922242315,0.5121212121212121,0.4947637292464878,0.6734848484848486,0.33135922687553243
NSUN5---Cluster1,0.7325581395348837,0.7046453232893911,0.694047619047619,0.6982456140350878,0.8166666666666667,0.9064842534829183
NSUN7---Cluster1,0.7558139534883721,0.7598240469208211,0.7428728070175439,0.7458843393837062,0.875548245614035,0.9165407374337431
NUDT16---Cluster1,0.8488372093023255,0.8488372093023255,0.849025974025974,0.848816768086545,0.9301948051948052,0.9402595226056035
OCIAD2---Cluster1,0.7441860465116279,0.625,0.5149147727272727,0.46734234234234234,0.7056107954545454,0.8846372252598873
OLFML1,0.6627906976744186,0.5921052631578947,0.542347247428917,0.5191825718141507,0.7689050211736237,0.8909094428324529
OLFML2B---Cluster1,0.7093023255813954,0.7094155844155845,0.7093023255813953,0.709263015551048,0.7474310438074634,0.7619801733737831
OR2L13---Cluster1,0.7790697674418605,0.39880952380952384,0.4855072463768116,0.43790849673202614,0.4676044330775788,0.21390272290890017
OR51E2,0.813953488372093,0.8079650845608293,0.8162464985994398,0.8102592388306674,0.8795518207282913,0.8200378857326235
OSMR---Cluster1,0.7325581395348837,0.7379032258064516,0.6983193277310924,0.703314834258287,0.826890756302521,0.8857401234389076
OSTF1,0.686046511627907,0.5937829293993677,0.5570512820512821,0.5523423944476576,0.7897435897435897,0.9133115961907364
OTOR---Cluster1,0.7325581395348837,0.753393665158371,0.7444080741953083,0.7316510649843984,0.823240589198036,0.7633028735645468
P2RY2---Cluster2,0.686046511627907,0.645679012345679,0.5363300492610837,0.4937867887508175,0.6496305418719212,0.7978195762656741
P4HA2---Cluster1,0.6744186046511628,0.6590730557737627,0.6157804459691252,0.6141025641025641,0.745854774156661,0.6231829975871037
