,accuracy,precision,recall,f1score,AUC,AP
C10orf10,0.7209302325581395,0.722007722007722,0.7181571815718157,0.718494271685761,0.797289972899729,0.7928797389725994
C10orf107,0.7906976744186046,0.7961956521739131,0.7987938596491229,0.7905844155844156,0.8667763157894738,0.8081662080141928
C10orf35---Cluster2,0.5581395348837209,0.5473948524795982,0.541189307146754,0.5328759291023442,0.6219312602291326,0.704547409513039
C10orf81,0.6162790697674418,0.5707013574660633,0.5862663906142167,0.5670480549199085,0.6418219461697723,0.39851346376946084
C11orf63,0.8488372093023255,0.851219512195122,0.8521739130434782,0.848816768086545,0.8923913043478261,0.8570714510779202
C11orf9---Cluster1,0.4069767441860465,0.3666666666666667,0.37450980392156863,0.36937455068296193,0.39215686274509803,0.5787331049409126
C13orf29---Cluster1,0.8255813953488372,0.8235930735930737,0.8350140056022408,0.82365003417635,0.8946778711484593,0.8416423240984414
C14orf106---Cluster1,0.6511627906976745,0.6541643684500827,0.6511627906976745,0.6494565217391305,0.7815035154137371,0.8057643691671172
C14orf50---Cluster1,0.7674418604651163,0.7534426229508197,0.7266862170087977,0.7352216748768473,0.8639296187683285,0.9259706716387017
C15orf48,0.7093023255813954,0.6704545454545454,0.6451905626134301,0.6515961756603468,0.779794313369631,0.8826672566776184
C16orf45,0.7441860465116279,0.7135416666666667,0.7272167487684729,0.7184523809523811,0.7758620689655173,0.8833466610781873
C1orf135---Cluster1,0.7674418604651163,0.684981684981685,0.684981684981685,0.684981684981685,0.7531135531135532,0.4977340755486019
C1orf59---Cluster2,0.686046511627907,0.5484848484848485,0.5268817204301075,0.5157455683003128,0.6021505376344085,0.8024175246934028
C1orf85,0.7441860465116279,0.7467532467532467,0.7579185520361991,0.7419530823786143,0.7901583710407241,0.6642461977979827
C1QTNF2---Cluster1,0.627906976744186,0.5116995073891626,0.5188492063492064,0.495970695970696,0.6537698412698413,0.2222453211907302
C1S---Cluster1,0.7790697674418605,0.7983333333333333,0.7961941533370105,0.7790398918187965,0.8113623827909542,0.7293872916264947
C20orf195---Cluster2,0.813953488372093,0.8102981029810298,0.8207282913165266,0.8114035087719298,0.8985994397759104,0.8620037843703342
C21orf63,0.8372093023255814,0.8432017543859649,0.8387445887445888,0.8368563685636856,0.8961038961038961,0.87686633913257
C2orf3,0.7906976744186046,0.801600914808462,0.7859078590785908,0.7865416436845007,0.8737127371273713,0.8792152025133471
C2orf39---Cluster1,0.7209302325581395,0.7132352941176471,0.7094444444444444,0.7109243697478991,0.7572222222222221,0.7830966201946933
C3orf14---Cluster2,0.7325581395348837,0.6296703296703297,0.6340909090909091,0.6317259355799665,0.7545454545454545,0.9121293176339874
C3orf52---Cluster1,0.6744186046511628,0.6717086834733894,0.6672122204037098,0.667953667953668,0.701582105837425,0.6288451399841755
C3orf64---Cluster1,0.8255813953488372,0.8300438596491229,0.8255813953488372,0.824989824989825,0.8604651162790697,0.8595130166872182
C4orf39,0.6511627906976745,0.5732349841938883,0.5420447670901392,0.5274725274725275,0.6557773744706594,0.49218889206803745
C4orf6,0.7906976744186046,0.808227465214761,0.7779596290234588,0.7811085972850678,0.8865248226950354,0.9045556119140392
C5orf25,0.46511627906976744,0.4813348416289593,0.4816666666666667,0.4648268398268398,0.5144444444444445,0.5922984584214359
C5orf35,0.5930232558139535,0.5051282051282051,0.5043103448275862,0.5005807200929152,0.5960591133004927,0.8061224860143188
C6orf141---Cluster1,0.8023255813953488,0.8105555555555556,0.8023255813953488,0.8010072138287736,0.8615467820443483,0.8383626862723348
C6orf15,0.7906976744186046,0.765982404692082,0.7743496672716274,0.7696428571428572,0.8342407743496674,0.7024125647283697
C6orf150---Cluster1,0.6511627906976745,0.6313920454545454,0.6046380090497737,0.6028325123152709,0.7188914027149321,0.7781710100898686
C7orf16,0.6162790697674418,0.4948849104859335,0.49615384615384617,0.4883720930232558,0.610897435897436,0.35549465640576494
C7orf23,0.7674418604651163,0.7744565217391304,0.7805555555555556,0.7669376693766938,0.8505555555555556,0.8189486134923394
C7orf31,0.6744186046511628,0.6461111111111111,0.6685897435897437,0.6469208211143695,0.6826923076923077,0.48956509546258253
C7orf46---Cluster1,0.7674418604651163,0.7727777777777778,0.7656926406926408,0.7654118930714675,0.7294372294372294,0.673423593315974
C8orf38---Cluster1,0.7790697674418605,0.7664027149321266,0.7692967409948542,0.7677327647476901,0.8181818181818181,0.6615808235744156
C8orf79,0.6627906976744186,0.6672222222222222,0.6627906976744187,0.660541717707908,0.7604110329908058,0.7462949335543956
C9orf167---Cluster1,0.6162790697674418,0.596111111111111,0.601466275659824,0.5965884861407249,0.6762463343108503,0.516784048813279
C9orf25---Cluster2,0.7209302325581395,0.6692307692307693,0.6692307692307693,0.6692307692307693,0.7333333333333334,0.5860174056398487
C9orf40---Cluster2,0.5930232558139535,0.5799779371207943,0.5820135746606334,0.5802538000278901,0.579185520361991,0.43809933762064823
C9orf64---Cluster1,0.7558139534883721,0.755,0.7504091653027822,0.7517525773195877,0.7561374795417348,0.8032099101894388
C9orf68,0.7790697674418605,0.7856359649122806,0.7823848238482385,0.7788005956409909,0.8130081300813008,0.7810926333105039
C9orf89---Cluster2,0.7674418604651163,0.6742424242424243,0.6742424242424243,0.6742424242424243,0.7204545454545455,0.5563727816099764
C9orf95---Cluster1,0.7209302325581395,0.7132486388384756,0.6974789915966386,0.7013888888888888,0.7736694677871149,0.8248942453092108
CA2,0.813953488372093,0.8193548387096774,0.8003309431880861,0.8054298642533937,0.8985107556536128,0.9073300969852459
CA3---Cluster1,0.686046511627907,0.6861471861471862,0.686046511627907,0.6860040567951318,0.7571660356949702,0.7515035451384937
CA5B---Cluster1,0.7325581395348837,0.5673486786018755,0.5705357142857144,0.5687813385655113,0.7008928571428572,0.9219791218208567
CACNG2---Cluster2,0.6046511627906976,0.5775862068965517,0.5712669683257918,0.5712609970674487,0.6917420814479638,0.5701906432723347
CALCRL,0.5697674418604651,0.49318181818181817,0.49472140762463346,0.48436233997731326,0.5126099706744868,0.4523035281119214
CAP2,0.7093023255813954,0.7093023255813953,0.7094155844155845,0.709263015551048,0.762987012987013,0.7731075134189177
CAPG,0.7093023255813954,0.6916666666666667,0.6841052029731276,0.6869084025047327,0.7421383647798742,0.8124480868978426
CARD9---Cluster1,0.8255813953488372,0.8188888888888889,0.8215686274509804,0.8201087714405243,0.8778711484593837,0.8489314853335082
CASP8---Cluster1,0.7441860465116279,0.7238421955403087,0.7296187683284457,0.7262731481481481,0.8310850439882698,0.9057654844167052
CAV2,0.7558139534883721,0.6821895424836601,0.6538992408557626,0.6637497672686651,0.8040027605244996,0.930011142088701
CBLN2---Cluster1,0.6744186046511628,0.597612958226769,0.5718769617074702,0.5724431818181818,0.7212806026365348,0.5577479222723778
CBR1---Cluster1,0.8255813953488372,0.8295144571740316,0.8268398268398268,0.8253688912955192,0.8804112554112554,0.8441799629018354
CCDC109B---Cluster1,0.7674418604651163,0.7144585601935873,0.7446514837819185,0.7243589743589745,0.7832988267770876,0.8811755687617968
CCDC122,0.6395348837209303,0.6094978826376285,0.6047453703703703,0.6062619997046226,0.6875,0.8221415054360155
CCDC65,0.5930232558139535,0.5946969696969697,0.5965250965250966,0.5916429249762583,0.6591285162713735,0.5517475140439801
CCDC8---Cluster1,0.686046511627907,0.6583333333333333,0.6560117302052786,0.6570669029685423,0.7524926686217009,0.8488653003536768
CCDC89---Cluster1,0.686046511627907,0.6660714285714285,0.6595197255574614,0.6618610747051112,0.7667238421955402,0.8254893556555871
CCL5---Cluster1,0.7209302325581395,0.5684848484848485,0.5413919413919415,0.5392857142857144,0.6439560439560439,0.8683050946391024
CCNA1---Cluster1,0.6511627906976745,0.5751231527093597,0.5866477272727273,0.5770491803278689,0.5348011363636364,0.7891215283118587
CCND1---Cluster6,0.7790697674418605,0.7825166364186328,0.7594444444444444,0.7650611071171818,0.8138888888888889,0.7398952130942806
CCNF---Cluster1,0.6744186046511628,0.543939393939394,0.543939393939394,0.543939393939394,0.5833333333333334,0.8193989917377826
CCR1,0.7325581395348837,0.7305194805194806,0.738655462184874,0.7295967190704034,0.707563025210084,0.5725056505503618
CCR7,0.6744186046511628,0.6791327913279133,0.6851540616246499,0.6728260869565217,0.7708683473389355,0.6866585724466769
CD109---Cluster1,0.7674418604651163,0.7766666666666666,0.7694805194805194,0.7663043478260869,0.8392857142857142,0.8024892587191957
CD2,0.813953488372093,0.8201875344732488,0.813953488372093,0.8130434782608695,0.8820984315846403,0.8051419983151804
CD248,0.813953488372093,0.813953488372093,0.8319039451114922,0.8114035087719298,0.898227558604917,0.8309468706395773
