,cluster_0,cluster_1,cluster_2
nucleus_texture_feature_6_mean_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_6_sd_Median,0.0,0.0,0.0
nucleus_texture_feature_6_sd_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_6_sd_Robust_Skewness,0.0,0.0,0.0
nucleus_texture_feature_6_sd_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_7_mean_Median,0.0,0.0,0.0
nucleus_texture_feature_7_mean_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_7_mean_Robust_Skewness,0.0,0.0,0.0
nucleus_texture_feature_7_mean_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_7_sd_Median,0.0,0.0,0.0
nucleus_texture_feature_7_sd_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_7_sd_Robust_Skewness,0.0,0.0,0.0
nucleus_texture_feature_7_sd_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_8_mean_Median,0.0,0.0,0.0
nucleus_texture_feature_8_mean_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_8_mean_Robust_Skewness,0.0,0.0,0.0
nucleus_texture_feature_8_mean_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_8_sd_Median,0.0,0.0,0.0
nucleus_texture_feature_8_sd_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_8_sd_Robust_Skewness,0.0,0.0,0.0
nucleus_texture_feature_8_sd_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_9_mean_Median,0.0,0.0,0.0
nucleus_texture_feature_9_mean_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_9_mean_Robust_Skewness,0.0,0.0,0.0
nucleus_texture_feature_9_mean_Robust_Kurtosis,0.0,0.0,0.0
nucleus_texture_feature_9_sd_Median,0.0,0.0,0.0
nucleus_texture_feature_9_sd_Inter_Quartile_Range,0.0,0.0,0.0
nucleus_texture_feature_9_sd_Robust_Skewness,0.0,0.0,0.0
nucleus_texture_feature_9_sd_Robust_Kurtosis,0.0,0.0,0.0
bin_1,0.0,0.0,0.0
bin_2,0.0,0.0,0.0
bin_3,0.0,0.0,0.0
bin_4,0.0,0.0,0.0
bin_5,0.0,0.0,0.0
bin_6,0.0,0.0,0.0
bin_7,0.0,0.0,0.0
bin_8,0.0,0.0,0.0
