,accuracy,precision,recall,f1score,AUC,AP
CLEC12A,0.6162790697674418,0.6179653679653679,0.6202426916712631,0.6149776149776149,0.6469939327082185,0.671332842805133
CLEC2B---Cluster1,0.5697674418604651,0.5736497545008183,0.5733695652173914,0.569709263015551,0.6592391304347827,0.6296444878881969
CLN6---Cluster3,0.6627906976744186,0.6500272776868521,0.6636904761904762,0.6490783734346419,0.7577380952380953,0.8598936791348186
CNTNAP2---Cluster1,0.7209302325581395,0.6851190476190476,0.6915024630541872,0.6878402903811252,0.7481527093596059,0.6961602544732699
COCH,0.7209302325581395,0.6545566502463054,0.6782670454545454,0.661639344262295,0.7848011363636365,0.9255733207792949
COL12A1---Cluster1,0.5,0.5,0.5,0.49666530556689803,0.5349999999999999,0.4862917112063828
COL1A2---Cluster1,0.7093023255813954,0.6534426229508197,0.65,0.6515961756603468,0.6967948717948718,0.8164357392848375
COL5A1---Cluster1,0.686046511627907,0.6715388858246001,0.6799768518518519,0.6732798649219081,0.7766203703703703,0.8570185242138555
COL5A2,0.7209302325581395,0.7032187670485542,0.7442622950819673,0.7013888888888888,0.7724590163934426,0.8885433004053838
COL6A1---Cluster2,0.5930232558139535,0.45606060606060606,0.45997239475500346,0.45736434108527135,0.3940648723257419,0.22791738719180113
COL6A2,0.7674418604651163,0.6826229508196722,0.7187745483110761,0.6946022727272727,0.7501963864886095,0.900415251170417
COL6A3,0.5813953488372093,0.42876344086021506,0.40535714285714286,0.4136363636363636,0.47410714285714295,0.8149851912957494
COL8A1,0.6511627906976745,0.6481178396072014,0.6481178396072014,0.6481178396072014,0.6961265684669941,0.7017590258359041
COLEC11---Cluster1,0.5348837209302325,0.5377777777777778,0.5367965367965368,0.5326086956521738,0.5941558441558441,0.6075097301468382
CPA1---Cluster2,0.6046511627906976,0.5509049773755657,0.5681818181818181,0.5411173885750156,0.6121212121212121,0.8691857443054991
CPA4---Cluster1,0.6744186046511628,0.6672268907563026,0.6646442360728075,0.6655555555555556,0.78157749586321,0.8213024540111311
CPA6,0.627906976744186,0.627906976744186,0.6324929971988795,0.6246590289143481,0.6414565826330532,0.7366176819894467
CPNE8---Cluster1,0.7209302325581395,0.5252747252747253,0.5497835497835498,0.5154929577464789,0.6897546897546898,0.957568361069322
CRB2---Cluster1,0.6162790697674418,0.6114718614718615,0.6350819672131147,0.5965884861407249,0.6222950819672131,0.7772931721281148
CRIP1,0.6046511627906976,0.5559954751131222,0.5703125,0.5498768472906403,0.63671875,0.8300239485688792
CROT---Cluster2,0.6744186046511628,0.6580253723110866,0.6680351906158357,0.6595022624434389,0.6727272727272727,0.8073754667441029
CRYGD---Cluster1,0.6976744186046512,0.5860215053763441,0.6045751633986928,0.5904761904761905,0.7099673202614379,0.9092752154357521
CSAG1---Cluster1,0.6976744186046512,0.6770833333333333,0.707051282051282,0.6765046296296295,0.7583333333333333,0.8919789214019027
CSRP1---Cluster1,0.686046511627907,0.6866883116883117,0.6869918699186992,0.6860040567951318,0.7653116531165312,0.7778180068874386
CSTB,0.8372093023255814,0.7794871794871795,0.7794871794871795,0.7794871794871795,0.9084249084249083,0.9730334288743718
CTSC,0.6511627906976745,0.6463815789473684,0.6463815789473684,0.6463815789473684,0.6644736842105263,0.586774179593791
