,0,1,2,3,4
184,FUT4,ROD1,,,
185,GALC,RPRM,,,
186,GBE1,RUFY3,,,
187,GBP4,RWDD2B,,,
188,GJB2,S100A11,,,
189,GLDN,SFRP1,,,
190,GMPR,SFRP2,,,
191,GNA14,SFT2D2,,,
192,GPD1,SH3GL3,,,
193,GPNMB,SKAP2,,,
194,GPR176,SLC16A14,,,
195,GPR180,SLC1A5,,,
196,GPR81,SLC25A13,,,
197,GRB10,SLC25A21,,,
198,GUSB,SLC37A4,,,
199,H1F0,SMOC1,,,
200,HAND2,SMPD3,,,
201,HCP5,SNAP91,,,
202,HDAC11,SNUPN,,,
203,HDC,SOCS2,,,
204,HIST1H2BH,SOCS3,,,
205,HOPX,SOX1,,,
206,HOXB9,SP8,,,
207,HPDL,SPAG4,,,
208,HPS1,SPATA20,,,
209,HRASLS,SPI1,,,
210,HSD3B7,STK32B,,,
211,HSPB2,STMN4,,,
212,HTATIP2,STX2,,,
213,HYAL2,TAGLN,,,
214,IER3,TAGLN2,,,
215,IFITM2,TBC1D1,,,
216,IFNGR2,TBCA,,,
217,IL13RA1,TBX2,,,
218,IL15,TCF7,,,
219,IL1RAP,TFCP2,,,
220,IL2RA,TFCP2L1,,,
221,IL2RG,THEM4,,,
222,IMPA2,TMCO6,,,
223,IMPACT,TMEM163,,,
224,IQGAP1,TMEM168,,,
225,IQGAP2,TMEM177,,,
226,IRAK3,TMEM70,,,
227,IRF1,TMEM98,,,
228,ISYNA1,TNFRSF10B,,,
229,ITGA10,TP53INP1,,,
230,ITGA3,TRAM1L1,,,
231,ITGB3,TRIM4,,,
232,ITGB5,TUBB6,,,
233,ITGBL1,TUSC3,,,
234,JUP,TYW3,,,
235,KCNE1L,UBB,,,
236,KCNE3,UCHL1,,,
237,KCTD9,VAV3,,,
238,KLHL26,VIM,,,
239,KLHL6,VPS37B,,,
240,LAMA4,VWC2,,,
241,LAMP3,WBSCR17,,,
242,LATS2,WDR76,,,
243,LCTL,WTAP,,,
244,LDB3,YAP1,,,
245,LDHA,ZC3HAV1L,,,
246,LECT1,ZFP3,,,
247,LGALS1,ZNF154,,,
248,LGALS8,ZNF214,,,
249,LHFPL2,ZNF300,,,
250,LIMD2,ZNF502,,,
251,LIMS1,ZNF542,,,
252,LITAF,ZNF549,,,
253,LMCD1,ZNF577,,,
254,LMNA,ZNF671,,,
255,LMNA,ZNF781,,,
256,LMO2,ZSCAN18,,,
257,LOC440356,,,,
258,LOX,,,,
259,LOXL1,,,,
260,LOXL2,,,,
261,LOXL4,,,,
262,LRRC32,,,,
263,LRRC8E,,,,
264,LRRFIP1,,,,
265,LTBP1,,,,
266,LUM,,,,
267,LXN,,,,
268,LY6E,,,,
269,LY75,,,,
270,LYN,,,,
271,MALL,,,,
272,MAOB,,,,
273,MCM2,,,,
274,MDK,,,,
275,MEOX2,,,,
276,MESDC1,,,,
277,MET,,,,
278,MFI2,,,,
279,MFNG,,,,
280,MFSD7,,,,
281,MGMT,,,,
282,MGMT,,,,
283,MINA,,,,
284,MLH3,,,,
285,MOSC2,,,,
286,MOXD1,,,,
287,MPV17L,,,,
288,MR1,,,,
289,MSN,,,,
290,MT1E,,,,
291,MT2A,,,,
292,MT3,,,,
293,MTHFS,,,,
294,MX1,,,,
295,MYBL2,,,,
296,MYO1C,,,,
297,N6AMT2,,,,
298,NAALAD2,,,,
299,NAGA,,,,
300,NDC80,,,,
301,NDUFA12,,,,
302,NDUFA4L2,,,,
303,NDUFS5,,,,
304,NEK6,,,,
305,NFATC1,,,,
306,NFATC4,,,,
307,NFE2L3,,,,
308,NID2,,,,
